name,cbs_code,province,found,slug,url,final_url,title,status,reason,candidates_tried
Dongen,0766,Noord-Brabant,True,dongen,https://dongen.incijfers.nl/Dashboard,https://dongen.incijfers.nl/Dashboard,Dongen in Cijfers - Dongen,200,ok,dongen
Drimmelen,1719,Noord-Brabant,False,drimmelen,https://drimmelen.incijfers.nl/Dashboard,https://drimmelen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,drimmelen
Eersel,0770,Noord-Brabant,False,eersel,https://eersel.incijfers.nl/Dashboard,https://eersel.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,eersel
Eindhoven,0772,Noord-Brabant,False,eindhoven,https://eindhoven.incijfers.nl/Dashboard,https://onderzoek040.nl/,Home | Onderzoek 040 | Gemeente Eindhoven,200,not_dashboard,eindhoven
Etten-Leur,0777,Noord-Brabant,False,etten,https://etten.incijfers.nl/Dashboard,https://etten.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,etten-leur ettenleur etten
Geertruidenberg,0779,Noord-Brabant,False,geertruidenberg,https://geertruidenberg.incijfers.nl/Dashboard,https://geertruidenberg.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,geertruidenberg
Geldrop-Mierlo,1771,Noord-Brabant,False,geldrop,https://geldrop.incijfers.nl/Dashboard,https://geldrop.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,geldrop-mierlo geldropmierlo geldrop
Gemert-Bakel,1652,Noord-Brabant,False,gemert,https://gemert.incijfers.nl/Dashboard,https://gemert.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,gemert-bakel gemertbakel gemert
Gilze en Rijen,0784,Noord-Brabant,False,gilze,https://gilze.incijfers.nl/Dashboard,https://gilze.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,gilze-en-rijen gilzeenrijen gilze
Goirle,0785,Noord-Brabant,False,goirle,https://goirle.incijfers.nl/Dashboard,https://goirle.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,goirle
Halderberge,1655,Noord-Brabant,False,halderberge,https://halderberge.incijfers.nl/Dashboard,https://halderberge.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,halderberge
Heeze-Leende,1658,Noord-Brabant,False,heeze,https://heeze.incijfers.nl/Dashboard,https://heeze.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,heeze-leende heezeleende heeze
